word;2012;2013;2014;2015;2016;2018;2019;2020;2021;2023;kind_word;sum
и;407;314;316;256;273;399;378;277;264;448;CONJ;3332
в;311;284;243;217;280;436;351;289;332;361;PREP;3104
это;174;105;127;87;137;184;178;113;116;172;PRCL;1393
мы;155;80;106;117;119;192;98;81;107;145;NPRO;1200
не;116;74;84;61;83;117;113;95;81;122;PRCL;946
быть;113;84;72;59;75;131;94;69;94;107;INFN;898
на;105;112;101;101;120;175;151;106;102;186;PREP;1259
с;91;80;109;64;84;113;117;85;108;115;PREP;966
должный;87;79;57;44;25;74;67;58;46;39;ADJF;576
что;85;65;83;74;87;108;85;90;65;110;CONJ;852
для;75;66;76;44;46;103;112;71;58;79;PREP;730
к;69;52;37;30;45;70;48;45;51;58;PREP;505
этот;66;70;52;37;40;75;83;43;53;68;ADJF;587
по;65;56;53;27;45;60;73;56;57;83;PREP;575
наш;61;43;57;35;44;91;55;47;43;93;ADJF;569
о;61;20;41;31;45;49;51;38;39;69;PREP;444
россия;60;37;59;34;42;85;48;50;51;63;NOUN;529
весь;56;42;39;27;40;70;51;50;43;65;ADJF;483
тот;56;34;43;39;21;53;45;40;50;54;ADJF;435
страна;55;38;25;22;31;55;36;50;37;62;NOUN;411
который;54;47;34;49;43;73;56;44;41;71;ADJF;512
но;53;41;34;40;40;59;66;40;43;46;CONJ;462
а;52;48;27;23;33;52;52;40;31;60;CONJ;418
свой;51;24;25;28;30;43;34;31;21;57;ADJF;344
год;51;49;61;50;80;97;95;66;68;83;NOUN;700
нужно;49;37;19;27;33;69;49;24;32;9;PRED;348
всё;47;26;35;20;33;61;47;25;50;75;PRCL;419
развитие;42;44;23;20;35;47;26;23;34;27;NOUN;321
уже;40;24;22;22;31;41;50;35;46;35;ADVB;346
как;39;34;55;23;30;56;44;29;59;64;CONJ;433
такой;39;42;23;31;30;58;53;35;49;53;ADJF;413
я;37;16;9;15;21;28;43;23;17;30;NPRO;239
они;37;45;46;53;59;56;82;47;47;126;NPRO;598
новый;36;20;14;11;16;71;26;18;37;35;ADJF;284
работа;34;40;20;11;19;20;37;21;16;19;NOUN;237
за;34;29;28;22;33;36;37;26;36;60;PREP;341
так;34;26;24;7;19;27;32;20;32;36;CONJ;257
только;33;23;21;16;20;15;35;22;19;24;ADVB;228
человек;31;25;28;26;28;52;56;43;30;33;NOUN;352
российский;30;29;8;18;16;21;11;11;13;24;ADJF;181
говорить;29;9;15;13;26;20;21;11;11;23;INFN;178
от;27;20;22;19;20;29;22;18;25;26;PREP;228
гражданин;26;19;12;12;19;24;19;31;25;24;NOUN;211
вы;26;13;11;7;19;20;20;12;13;15;NPRO;156
мочь;26;15;8;15;18;22;27;29;12;15;NOUN;187
государство;26;16;12;12;8;13;16;16;11;17;NOUN;147
работать;26;17;13;7;13;19;20;10;9;12;INFN;146
хотеть;25;13;15;10;22;21;28;18;18;39;INFN;209
при;25;20;15;9;16;22;17;25;13;13;PREP;175
у;25;17;20;19;31;36;29;20;16;36;PREP;249
уважаемый;23;17;13;12;17;19;16;21;12;9;ADJF;159
из;23;21;14;20;15;40;36;9;20;27;PREP;225
регион;23;22;16;15;12;11;21;29;30;18;NOUN;197
сфера;22;12;10;6;9;16;16;12;18;15;NOUN;136
вопрос;22;9;16;13;10;11;18;14;11;17;NOUN;141
сегодня;22;11;10;11;15;33;21;17;7;15;ADVB;162
задача;22;23;9;12;19;26;21;12;23;14;NOUN;181
общество;22;12;4;9;10;7;4;16;4;8;NOUN;96
правительство;22;13;18;18;9;7;20;21;22;22;NOUN;172
знать;21;19;7;23;13;14;22;12;15;19;INFN;165
чтобы;21;30;17;26;21;33;26;21;28;30;CONJ;253
сейчас;19;11;18;15;16;19;17;14;17;25;ADVB;171
стать;19;10;13;10;6;19;7;15;13;18;INFN;130
процент;19;2;8;6;14;25;19;12;14;20;NOUN;139
система;19;34;16;12;19;56;19;22;14;20;NOUN;231
экономика;18;13;16;10;23;21;13;8;13;27;NOUN;162
она;18;8;7;11;12;11;9;7;14;3;NPRO;100
мир;18;9;9;7;6;29;15;9;13;23;NOUN;138
коллега;18;18;10;11;19;18;20;21;15;8;NOUN;158
возможность;18;13;13;9;14;29;19;15;9;14;NOUN;153
считать;18;13;4;10;10;10;8;19;0;7;INFN;99
ещё;17;13;19;18;16;28;29;15;22;22;ADVB;199
национальный;17;9;19;8;8;7;16;18;11;8;ADJF;121
если;17;11;14;7;11;12;11;9;5;6;CONJ;103
ребёнок;17;2;7;8;4;10;24;43;27;13;NOUN;155
внимание;17;10;6;8;17;7;12;9;10;15;NOUN;111
просить;17;21;9;23;9;3;13;14;9;16;INFN;134
первый;16;4;6;7;2;9;19;8;9;11;ADJF;91
сказать;16;11;16;4;13;26;21;12;23;23;INFN;165
каждый;16;10;9;4;8;21;13;20;10;16;ADJF;127
экономический;16;10;8;11;15;17;11;5;2;15;ADJF;110
именно;16;7;14;9;7;17;20;13;20;17;PRCL;140
образование;16;16;7;8;7;14;10;6;5;15;NOUN;104
делать;16;9;6;9;1;13;10;3;4;21;INFN;92
важный;16;10;4;8;9;17;12;7;10;18;ADJF;111
социальный;15;12;17;7;13;14;14;19;12;15;ADJF;138
другой;15;23;15;10;18;23;10;9;28;29;ADJF;180
конечно;15;17;27;19;18;20;26;14;20;16;CONJ;192
прежде;15;7;8;7;7;7;6;8;7;11;PREP;83
до;15;15;13;14;7;26;26;14;24;20;PREP;174
бизнес;15;15;11;14;13;10;16;6;14;20;NOUN;134
политический;15;12;3;2;6;1;3;7;4;3;ADJF;56
то;15;13;14;11;14;23;27;26;20;27;CONJ;190
время;15;12;11;6;10;21;18;12;11;10;NOUN;126
тем;15;1;7;9;11;13;11;13;18;8;CONJ;106
близкий;14;9;6;5;5;5;7;4;11;5;ADJF;71
политика;14;8;5;3;7;5;3;4;6;6;NOUN;61
рост;14;2;7;8;23;26;16;6;7;16;NOUN;125
число;14;15;11;17;10;21;23;12;18;17;NOUN;158
сам;14;11;15;10;7;9;16;10;6;12;ADJF;110
раз;14;6;17;5;11;27;13;7;11;10;NOUN;121
программа;14;15;10;12;18;9;13;11;9;20;NOUN;131
также;14;11;15;7;9;24;16;15;9;12;PRCL;132
он;14;24;23;8;17;25;22;24;15;20;NPRO;192
